sun_sign,rising_sign,title,interpretation
aries,aries,Aries Sun / Aries Rising,"Your core Aries identity and outward persona are fully aligned. You appear as a pioneering, energetic, and assertive individual who leads with confidence."
aries,taurus,Aries Sun / Taurus Rising,"Your ambitious Aries Sun is tempered by a grounded, persistent Taurus rising. You might appear more steady and sensually aware than a typical Aries, but your drive is still present, focused on tangible results."
aries,gemini,Aries Sun / Gemini Rising,"Your fiery Aries Sun is expressed through a quick-witted, communicative Gemini rising. You appear adaptable, curious, and lively, with your assertive drive channeled into mental pursuits and social interaction."
aries,cancer,Aries Sun / Cancer Rising,"Your direct Aries Sun is softened by a nurturing, sensitive Cancer rising. You might appear protective and caring, but your core drive is still pioneering and initiating. People might see your warmth first, then your underlying assertiveness."
aries,leo,Aries Sun / Leo Rising,"Your Aries Sun is amplified by a bold, charismatic Leo rising. You appear as a natural leader with immense vitality and a strong desire to shine and express yourself creatively. Both energies are strong initiators."
aries,virgo,Aries Sun / Virgo Rising,"Your direct Aries Sun is expressed through a meticulous, practical Virgo rising. You might appear more analytical and detail-oriented, but your core drive is still about taking action and initiating. The Virgo rising helps refine the Aries impulse."
aries,libra,Aries Sun / Libra Rising,"Your assertive Aries Sun is balanced by a diplomatic, relationship-oriented Libra rising. You appear more concerned with fairness and harmony, but your core drive is still to initiate and lead. The Libra rising helps you consider others in your actions."
aries,scorpio,Aries Sun / Scorpio Rising,"Your Aries Sun is intensified by a powerful, probing Scorpio rising. You appear as someone with a deep, magnetic intensity and a formidable will, driven to transform and assert yourself with potent force."
aries,sagittarius,Aries Sun / Sagittarius Rising,"Your Aries Sun is amplified by an optimistic, expansive Sagittarius rising. You appear enthusiastic, adventurous, and freedom-loving, with your pioneering spirit focused on exploration and philosophical growth."
aries,capricorn,Aries Sun / Capricorn Rising,"Your direct Aries Sun is channeled through a disciplined, responsible Capricorn rising. You might appear more serious and goal-oriented, with your pioneering drive focused on long-term achievement and building lasting structures."
aries,aquarius,Aries Sun / Aquarius Rising,"Your Aries Sun is expressed through an unconventional, innovative Aquarius rising. You appear unique, independent, and forward-thinking, with your initiative directed towards intellectual pursuits and social change."
aries,pisces,Aries Sun / Pisces Rising,"Your assertive Aries Sun is softened by a compassionate, intuitive Pisces rising. You might appear more empathetic and artistic, but your core drive is still to initiate and express yourself with passion. The Pisces rising can add a layer of idealism to your actions. ---"
taurus,aries,Taurus Sun / Aries Rising,"Your steady Taurus Sun is projected through a dynamic Aries rising. You might appear impulsive and energetic initially, but your underlying core is about building security and value through persistent effort. The Aries rising fuels the Taurus drive."
taurus,taurus,Taurus Sun / Taurus Rising,"Your core Taurus essence and outward presentation are aligned. You appear grounded, steady, sensual, and value-driven, with a persistent and appreciative nature."
taurus,gemini,Taurus Sun / Gemini Rising,"Your grounded Taurus Sun is expressed through a curious, communicative Gemini rising. You might appear adaptable and social, but your core motivation is still about stability and tangible results, which you might communicate about or seek through diverse means."
taurus,cancer,Taurus Sun / Cancer Rising,"Your steady Taurus Sun is softened by a nurturing Cancer rising. You might appear more emotionally responsive and security-oriented, with your core desire for stability finding expression through caring for others and creating a comfortable home."
taurus,leo,Taurus Sun / Leo Rising,"Your grounded Taurus Sun is amplified by a charismatic Leo rising. You might appear more outwardly expressive and confident, with your appreciation for beauty and value finding expression through creative and generous means. Your steady nature is paired with a desire to shine."
taurus,virgo,Taurus Sun / Virgo Rising,"Your steady Taurus Sun is expressed through a meticulous Virgo rising. You might appear more analytical and detail-oriented, but your core desire for security and tangible results remains strong. The Virgo rising helps refine your practical approach to value."
taurus,libra,Taurus Sun / Libra Rising,"Your grounded Taurus Sun is balanced by a diplomatic Libra rising. You might appear more focused on relationships and fairness, but your core motivation is still about stability and building value. The Libra rising helps you seek harmonious ways to express your appreciation."
taurus,scorpio,Taurus Sun / Scorpio Rising,"Your steady Taurus Sun is intensified by a powerful, probing Scorpio rising. You might appear deeply driven and focused on transforming your resources and values with unwavering intensity. Your determination is profound and focused on lasting security."
taurus,sagittarius,Taurus Sun / Sagittarius Rising,"Your grounded Taurus Sun is projected through an optimistic, expansive Sagittarius rising. You might appear more adventurous and philosophical, but your core desire is for stability and tangible results, which you seek through broader exploration and learning."
taurus,capricorn,Taurus Sun / Capricorn Rising,"Your steady Taurus Sun is amplified by a disciplined Capricorn rising. You might appear highly ambitious and responsible, with your appreciation for lasting value finding expression through structured goals and tangible achievements. Both are earth signs focused on building."
taurus,aquarius,Taurus Sun / Aquarius Rising,"Your grounded Taurus Sun is expressed through an unconventional Aquarius rising. You might appear unique and intellectually driven, but your core desire is for stability and tangible value, which you seek through innovative means or future-oriented plans."
taurus,pisces,Taurus Sun / Pisces Rising,"Your steady Taurus Sun is softened by a compassionate, intuitive Pisces rising. You might appear more artistic and sensitive, but your core desire for security and lasting value remains. The Pisces rising can add a dreamy, artistic quality to your appreciation of beauty and comfort. ---"
gemini,aries,Gemini Sun / Aries Rising,"Your adaptable Gemini Sun is projected through a dynamic Aries rising. You might appear energetic and assertive initially, but your core is restless and communicative. Your drive is channeled into quick action and initiating conversations."
gemini,taurus,Gemini Sun / Taurus Rising,"Your curious Gemini Sun is grounded by a steady Taurus rising. You might appear more patient and appreciative of comfort, but your core is still about gathering information and communicating diverse ideas, perhaps in a more deliberate way."
gemini,gemini,Gemini Sun / Gemini Rising,"Your core Gemini essence and outward presentation are aligned. You appear quick-witted, communicative, adaptable, and curious. Your mind and social interactions are your primary tools for engaging with the world."
gemini,cancer,Gemini Sun / Cancer Rising,"Your adaptable Gemini Sun is softened by a nurturing Cancer rising. You might appear more emotionally responsive and sensitive, but your core is still about gathering and sharing information, perhaps with a more empathetic and caring tone."
gemini,leo,Gemini Sun / Leo Rising,"Your communicative Gemini Sun is amplified by a charismatic Leo rising. You might appear as a confident and engaging storyteller, with your intellectual curiosity finding expression through creative and expressive means. Your social energy is high."
gemini,virgo,Gemini Sun / Virgo Rising,"Your curious Gemini Sun is expressed through a meticulous Virgo rising. You might appear more analytical and detail-oriented, but your core is still about gathering and processing information, perhaps with a focus on accuracy and efficiency."
gemini,libra,Gemini Sun / Libra Rising,"Your communicative Gemini Sun is balanced by a diplomatic Libra rising. You might appear more focused on fairness and relationships, but your core is still about exchanging ideas and connecting through conversation. Your communication is likely charming and considerate."
gemini,scorpio,Gemini Sun / Scorpio Rising,"Your adaptable Gemini Sun is intensified by a powerful, probing Scorpio rising. You might appear as someone with a deep and investigative mind, driven to uncover hidden meanings and communicate with intensity. Your curiosity has a powerful, transformative edge."
gemini,sagittarius,Gemini Sun / Sagittarius Rising,"Your communicative Gemini Sun is amplified by an optimistic, expansive Sagittarius rising. You appear enthusiastic and philosophical, with your intellectual curiosity extending to broad horizons and a desire to share knowledge. Both are focused on ideas and exploration."
gemini,capricorn,Gemini Sun / Capricorn Rising,"Your adaptable Gemini Sun is channeled through a disciplined Capricorn rising. You might appear more serious and strategic in your communication, but your core is still about gathering and processing information, perhaps with a focus on practical application and long-term goals."
gemini,aquarius,Gemini Sun / Aquarius Rising,"Your communicative Gemini Sun is aligned with an innovative Aquarius rising. You appear intellectual, original, and forward-thinking, with your natural curiosity and communication skills focused on progressive ideas and societal change."
gemini,pisces,Gemini Sun / Pisces Rising,"Your adaptable Gemini Sun is softened by a compassionate Pisces rising. You might appear more intuitive and artistic in your communication, but your core is still about gathering and sharing information, perhaps with a focus on emotional depth and creative expression. ---"
cancer,aries,Cancer Sun / Aries Rising,"Your nurturing Cancer Sun is projected through a dynamic Aries rising. You might appear assertive and initiating initially, but your core is deeply emotional and security-oriented. Your actions are often driven by a need to protect what you love."
cancer,taurus,Cancer Sun / Taurus Rising,"Your emotional Cancer Sun is grounded by a steady Taurus rising. You might appear more patient and sensually appreciative, but your core is still about creating emotional security and comfort, which you express through stable and comforting means."
cancer,gemini,Cancer Sun / Gemini Rising,"Your emotional Cancer Sun is expressed through a curious, communicative Gemini rising. You might appear adaptable and social, but your core is still about gathering and sharing information with a sensitive touch. Your emotions can influence your communication style."
cancer,cancer,Cancer Sun / Cancer Rising,"Your core Cancer essence and outward presentation are aligned. You appear nurturing, sensitive, emotional, and deeply connected to home and family. Your feelings and desire for security are very apparent."
cancer,leo,Cancer Sun / Leo Rising,"Your nurturing Cancer Sun is amplified by a charismatic Leo rising. You might appear more outgoing and expressive, but your core desire is for emotional connection and security, which you express through warmth and a desire to care for those around you, often with a creative flair."
cancer,virgo,Cancer Sun / Virgo Rising,"Your emotional Cancer Sun is expressed through a meticulous Virgo rising. You might appear more analytical and detail-oriented, but your core is still about nurturing and providing emotional security, perhaps in a more practical or helpful way."
cancer,libra,Cancer Sun / Libra Rising,"Your emotional Cancer Sun is balanced by a diplomatic Libra rising. You might appear more focused on harmony and relationships, but your core is still about emotional connection and security, which you seek through creating pleasant and balanced interactions."
cancer,scorpio,Cancer Sun / Scorpio Rising,"Your emotional Cancer Sun is intensified by a powerful, probing Scorpio rising. You might appear as someone with deep emotional intensity and a powerful will to protect those you care about. Your emotional needs are profound and drive your actions."
cancer,sagittarius,Cancer Sun / Sagittarius Rising,"Your emotional Cancer Sun is projected through an optimistic, expansive Sagittarius rising. You might appear more adventurous and philosophical, but your core desire is for emotional security and connection, which you seek through exploring beliefs and sharing experiences, perhaps with a strong emotional component."
cancer,capricorn,Cancer Sun / Capricorn Rising,"Your emotional Cancer Sun is channeled through a disciplined Capricorn rising. You might appear more serious and responsible, but your core is still about nurturing and emotional security, which you express through building stable family structures and taking on duties with care."
cancer,aquarius,Cancer Sun / Aquarius Rising,"Your emotional Cancer Sun is expressed through an unconventional Aquarius rising. You might appear unique and intellectual, but your core is still about emotional connection and security, which you seek through original approaches to relationships and home. Your emotional needs might be expressed in less conventional ways."
cancer,pisces,Cancer Sun / Pisces Rising,"Your emotional Cancer Sun is aligned with a compassionate Pisces rising. You appear deeply intuitive, empathetic, and spiritual, with your nurturing core finding expression through a gentle, artistic, and deeply feeling outer self. ---"
leo,aries,Leo Sun / Aries Rising,"Your charismatic Leo Sun is projected through a dynamic Aries rising. You appear energetic and initiating, with your core drive for leadership and self-expression amplified by Aries's pioneering spirit."
leo,taurus,Leo Sun / Taurus Rising,"Your vibrant Leo Sun is grounded by a steady Taurus rising. You might appear more patient and appreciative of comfort, but your core is still about creative expression and shining, which you do with a persistent and devoted approach."
leo,gemini,Leo Sun / Gemini Rising,"Your expressive Leo Sun is communicated through a witty Gemini rising. You appear lively, communicative, and adaptable, with your core desire to shine finding expression through engaging conversation and sharing your creative ideas."
leo,cancer,Leo Sun / Cancer Rising,"Your warm Leo Sun is softened by a nurturing Cancer rising. You might appear more caring and emotionally responsive, but your core is still about radiating warmth and seeking appreciation, often expressed through generous acts of kindness."
leo,leo,Leo Sun / Leo Rising,"Your core Leo essence and outward presentation are aligned. You appear radiant, confident, creative, and dramatic, with a natural leadership quality and a desire to shine."
leo,virgo,Leo Sun / Virgo Rising,"Your expressive Leo Sun is channeled through a meticulous Virgo rising. You might appear more analytical and detail-oriented, but your core is still about creative expression and making a vibrant impact, perhaps by refining your artistic talents."
leo,libra,Leo Sun / Libra Rising,"Your warm Leo Sun is balanced by a diplomatic Libra rising. You might appear more focused on harmony and relationships, but your core desire is to express yourself creatively and be appreciated. Your social interactions are likely charming and considerate."
leo,scorpio,Leo Sun / Scorpio Rising,"Your vibrant Leo Sun is intensified by a powerful, probing Scorpio rising. You might appear as someone with deep intensity and a magnetic presence, driven to transform and express your passions with formidable force. Your creative drive has a powerful edge."
leo,sagittarius,Leo Sun / Sagittarius Rising,"Your expressive Leo Sun is amplified by an optimistic, expansive Sagittarius rising. You appear enthusiastic and freedom-loving, with your core desire to shine finding expression through exploration, learning, and sharing inspiring ideas."
leo,capricorn,Leo Sun / Capricorn Rising,"Your vibrant Leo Sun is channeled through a disciplined Capricorn rising. You might appear highly ambitious and responsible, but your core desire is to express yourself creatively and shine, which you do with a focus on achieving long-term goals and building a respected position."
leo,aquarius,Leo Sun / Aquarius Rising,"Your expressive Leo Sun is projected through an unconventional Aquarius rising. You might appear unique and intellectual, but your core is still about creative self-expression and shining, which you do in original ways, often with a humanitarian bent."
leo,pisces,Leo Sun / Pisces Rising,"Your warm Leo Sun is softened by a compassionate Pisces rising. You might appear more intuitive and artistic, but your core is still about radiating warmth and seeking appreciation, often expressed through creative and imaginative channels. ---"
virgo,aries,Virgo Sun / Aries Rising,"Your analytical Virgo Sun is projected through a dynamic Aries rising. You might appear energetic and initiating, but your core is focused on meticulous improvement and practical service. Your drive is channeled into refining and organizing."
virgo,taurus,Virgo Sun / Taurus Rising,"Your practical Virgo Sun is grounded by a steady Taurus rising. You might appear more patient and appreciative of comfort, but your core is still about diligent work and precise application, which you express through creating stability and value."
virgo,gemini,Virgo Sun / Gemini Rising,"Your analytical Virgo Sun is expressed through a curious, communicative Gemini rising. You might appear adaptable and social, but your core is still about gathering and processing information with precision, perhaps sharing detailed insights."
virgo,cancer,Virgo Sun / Cancer Rising,"Your practical Virgo Sun is softened by a nurturing Cancer rising. You might appear more emotionally responsive and sensitive, but your core is still about service and improvement, often expressed through helpfulness and caring for others' practical needs."
virgo,leo,Virgo Sun / Leo Rising,"Your analytical Virgo Sun is amplified by a charismatic Leo rising. You might appear more expressive and confident, but your core desire is for meticulous improvement and skillful contribution, which you express with a certain flair and focus on excellence."
virgo,virgo,Virgo Sun / Virgo Rising,"Your core Virgo essence and outward presentation are aligned. You appear analytical, practical, detail-oriented, and service-minded, with a focus on improvement and efficiency."
virgo,libra,Virgo Sun / Libra Rising,"Your meticulous Virgo Sun is balanced by a diplomatic Libra rising. You might appear more focused on harmony and relationships, but your core is still about precise analysis and seeking improvement, which you do in a fair and considerate manner."
virgo,scorpio,Virgo Sun / Scorpio Rising,"Your analytical Virgo Sun is intensified by a powerful, probing Scorpio rising. You might appear as someone with a deep and investigative mind, driven to uncover hidden truths and improve systems with intense focus. Your practical skills have a transformative edge."
virgo,sagittarius,Virgo Sun / Sagittarius Rising,"Your analytical Virgo Sun is projected through an optimistic, expansive Sagittarius rising. You might appear more adventurous and philosophical, but your core desire is for practical knowledge and improvement, which you seek through learning and exploration with a desire for accuracy."
virgo,capricorn,Virgo Sun / Capricorn Rising,"Your practical Virgo Sun is amplified by a disciplined Capricorn rising. You might appear highly ambitious and responsible, with your focus on meticulous work finding expression through structured goals and tangible achievements. Both are Earth signs focused on practical application."
virgo,aquarius,Virgo Sun / Aquarius Rising,"Your analytical Virgo Sun is expressed through an unconventional Aquarius rising. You might appear unique and intellectual, but your core is still about precise improvement and practical solutions, which you seek through innovative methods and a focus on future advancements."
